plate,transfer,p,f
2,35,S,0.0744901261612192
2,35,A,0.691078189103169
2,35,B,0
2,35,AB,0
2,36,U,0.23443166960071
2,36,S,0.0744899240280713
2,36,A,0.691078406369703
2,36,B,0
2,36,AB,0
2,37,U,0.234435600175699
2,37,S,0.0744898432153747
2,37,A,0.691074556607354
2,37,B,0
2,37,AB,0
2,38,U,0.234443476459068
2,38,S,0.0744898837231296
2,38,A,0.691066639816121
2,38,B,0
2,38,AB,0
2,39,U,0.234454003653919
2,39,S,0.0744900271321621
2,39,A,0.69105596921213
2,39,B,0
2,39,AB,0
2,40,U,0.23446076692867
2,40,S,0.0744901821880853
2,40,A,0.691049050881616
2,40,B,0
2,40,AB,0
3,0,U,0.127659574468085
3,0,S,0.872340425531915
3,0,A,0
3,0,B,0
3,0,AB,0
3,1,U,0.922872340425532
3,1,S,0.0664893617021277
3,1,A,0
3,1,B,0.0106382978723404
3,1,AB,0
3,2,U,0.908158555591189
3,2,S,0.0564661717935959
3,2,A,0
3,2,B,0.0353752726150488
3,2,AB,0
3,3,U,0.8869909535869
3,3,S,0.0533028321360019
3,3,A,0
3,3,B,0.0597062142772448
3,3,AB,0
3,4,U,0.863070359248278
3,4,S,0.052103968520331
3,4,A,0
3,4,B,0.0848256722325944
3,4,AB,0
3,5,U,0.837656914391774
3,5,S,0.0515220348143884
3,5,A,0
3,5,B,0.11082105079511
3,5,AB,0
3,6,U,0.811424510298011
3,6,S,0.0511204387568517
3,6,A,0
3,6,B,0.137455050946349
3,6,AB,0
3,7,U,0.784871880423943
3,7,S,0.0507685518203942
3,7,A,0
3,7,B,0.164359567756835
3,7,AB,0
3,8,U,0.758440019933551
3,8,S,0.050440032898806
3,8,A,0
3,8,B,0.191119947168699
3,8,AB,0
3,9,U,0.732550979021088
3,9,S,0.0501219116006162
3,9,A,0
3,9,B,0.217327109379159
3,9,AB,0
3,10,U,0.70758525601213
3,10,S,0.0498150961398433
3,10,A,0
3,10,B,0.242599647848646
3,10,AB,0
3,11,U,0.683853666968336
3,11,S,0.0495235790535978
3,11,A,0
3,11,B,0.266622753978275
3,11,AB,0
3,12,U,0.661624065268434
3,12,S,0.0492498926168043
3,12,A,0
3,12,B,0.289126042114371
3,12,AB,0
3,13,U,0.641082571028286
3,13,S,0.0489976727559622
3,13,A,0
3,13,B,0.309919756214595
3,13,AB,0
3,14,U,0.622335039652351
3,14,S,0.0487680143727299
3,14,A,0
3,14,B,0.328896945972959
3,14,AB,0
3,15,U,0.605431758928996
3,15,S,0.0485614088033505
3,15,A,0
3,15,B,0.3460068322651
3,15,AB,0
3,16,U,0.590354100395811
3,16,S,0.0483772897837572
3,16,A,0
3,16,B,0.361268609817785
3,16,AB,0
3,17,U,0.57704072226198
3,17,S,0.0482148348949249
3,17,A,0
3,17,B,0.374744442840578
3,17,AB,0
3,18,U,0.565356322012933
3,18,S,0.0480719657473412
3,18,A,0
3,18,B,0.386571712237486
3,18,AB,0
3,19,U,0.555177508364205
3,19,S,0.0479472165627826
3,19,A,0
3,19,B,0.396875275071059
3,19,AB,0
3,20,U,0.546348226856221
3,20,S,0.0478388540036176
3,20,A,0
3,20,B,0.405812919138244
3,20,AB,0
3,21,U,0.538706006634154
3,21,S,0.0477449016647634
3,21,A,0
3,21,B,0.413549091698883
3,21,AB,0
3,22,U,0.532143697214356
3,22,S,0.0476642929695154
3,22,A,0
3,22,B,0.420192009813494
3,22,AB,0
3,23,U,0.526500653489915
3,23,S,0.0475952005436849
3,23,A,0
3,23,B,0.425904145963169
3,23,AB,0
3,24,U,0.521698553363286
3,24,S,0.0475365201773008
3,24,A,0
3,24,B,0.430764926455706
3,24,AB,0
3,25,U,0.517617838412222
3,25,S,0.0474868980614804
3,25,A,0
3,25,B,0.43489526352242
3,25,AB,0
3,26,U,0.514175324509232
3,26,S,0.0474451419885538
3,26,A,0
3,26,B,0.438379533498472
3,26,AB,0
3,27,U,0.511289118210858
3,27,S,0.0474101720097938
3,27,A,0
3,27,B,0.441300709776237
3,27,AB,0
3,28,U,0.508847895810516
3,28,S,0.0473808234669902
3,28,A,0
3,28,B,0.443771280719919
3,28,AB,0
3,29,U,0.506802728514905
3,29,S,0.0473562203276442
3,29,A,0
3,29,B,0.445841051155591
3,29,AB,0
3,30,U,0.50509656408183
3,30,S,0.0473355014281839
3,30,A,0
3,30,B,0.447567934488972
3,30,AB,0
3,31,U,0.503677773177229
3,31,S,0.0473179493223919
3,31,A,0
3,31,B,0.449004277500275
3,31,AB,0
3,32,U,0.502477290694767
3,32,S,0.0473032974759726
3,32,A,0
3,32,B,0.450219411830058
3,32,AB,0
3,33,U,0.501469872047414
3,33,S,0.047290907051928
3,33,A,0
3,33,B,0.451239220902239
3,33,AB,0
3,34,U,0.5006260097035
3,34,S,0.0472804130974172
3,34,A,0
3,34,B,0.452093577201203
3,34,AB,0
3,35,U,0.49991638017336
3,35,S,0.0472714736233702
3,35,A,0
3,35,B,0.452812146205626
3,35,AB,0
3,36,U,0.499295739097118
3,36,S,0.0472636049844279
3,36,A,0
3,36,B,0.453440655920919
3,36,AB,0
3,37,U,0.498760800751089
3,37,S,0.0472567735076101
3,37,A,0
3,37,B,0.453982425743548
3,37,AB,0
3,38,U,0.498301804941757
3,38,S,0.0472509004221988
3,38,A,0
3,38,B,0.454447294637686
3,38,AB,0
3,39,U,0.497915855655516
3,39,S,0.0472460285304373
3,39,A,0
3,39,B,0.454838115814753
3,39,AB,0
3,40,U,0.497608405055295
3,40,S,0.0472424674848154
3,40,A,0
3,40,B,0.455149127460049
3,40,AB,0
4,0,U,0.127659574468085
4,0,S,0.872340425531915
4,0,A,0
4,0,B,0
4,0,AB,0
4,1,U,0.997340425531915
4,1,S,0
4,1,A,0
4,1,B,0
4,1,AB,0.00265957446808511
4,2,U,0.996137380137259
4,2,S,0.00137336423683433
4,2,A,0
4,2,B,0
4,2,AB,0.00248925564578555
4,3,U,0.995766335528759
4,3,S,0.00167042263343242
4,3,A,0
4,3,B,0
4,3,AB,0.00256324181754731
4,4,U,0.995593279140355
4,4,S,0.00173532778229793
4,4,A,0
4,4,B,0
4,4,AB,0.00267139302171319
4,5,U,0.99547876717461
4,5,S,0.00174961464684412
4,5,A,0
4,5,B,0
4,5,AB,0.00277161808547812
4,6,U,0.995389942718287
4,6,S,0.00175272053849556
4,6,A,0
4,6,B,0
4,6,AB,0.00285733664374696
4,7,U,0.995317363843214
4,7,S,0.00175342098553363
4,7,A,0
4,7,B,0
4,7,AB,0.00292921507423238
4,8,U,0.995257109326713
4,8,S,0.00175373207273576
4,8,A,0
4,8,B,0
4,8,AB,0.00298915849024946
4,9,U,0.995207035431393
4,9,S,0.00175382165096963
4,9,A,0
4,9,B,0
4,9,AB,0.00303914281221741
4,10,U,0.995165709836986
4,10,S,0.00175382595866914
4,10,A,0
4,10,B,0
4,10,AB,0.00308046410239775
4,11,U,0.995131390559244
4,11,S,0.00175379354206722
4,11,A,0
4,11,B,0
4,11,AB,0.0031148158067799
4,12,U,0.995102694501799
4,12,S,0.00175375724173527
4,12,A,0
4,12,B,0
4,12,AB,0.00314354818307415
4,13,U,0.995079168504674
4,13,S,0.00175371821265719
4,13,A,0
4,13,B,0
4,13,AB,0.00316711322195703
4,14,U,0.995059140253338
4,14,S,0.00175373391389322
4,14,A,0
4,14,B,0
4,14,AB,0.00318712578274238
4,15,U,0.995042540261618
4,15,S,0.00175375230134735
4,15,A,0
4,15,B,0
4,15,AB,0.00320370739444061
4,16,U,0.995028693413068
4,16,S,0.00175376704889729
4,16,A,0
4,16,B,0
4,16,AB,0.00321753949799369
4,17,U,0.995016776625152
4,17,S,0.00175379227647938
4,17,A,0
4,17,B,0
4,17,AB,0.00322943105572853
4,18,U,0.995007086790193
4,18,S,0.00175380375489578
4,18,A,0
4,18,B,0
4,18,AB,0.00323910941213526
4,19,U,0.994998829166763
4,19,S,0.00175380427626595
4,19,A,0
4,19,B,0
4,19,AB,0.00324736651483631
4,20,U,0.994991922923553
4,20,S,0.00175380019290466
4,20,A,0
4,20,B,0
4,20,AB,0.00325427684341263
4,21,U,0.994986225637036
4,21,S,0.00175379591012002
4,21,A,0
4,21,B,0
4,21,AB,0.00325997841676805
4,22,U,0.994981399725347
4,22,S,0.00175378879655045
4,22,A,0
4,22,B,0
4,22,AB,0.00326481144862333
4,23,U,0.994977628876431
4,23,S,0.00175378457480369
4,23,A,0
4,23,B,0
4,23,AB,0.00326858652339291
4,24,U,0.994974495438375
4,24,S,0.00175378172952634
4,24,A,0
4,24,B,0
4,24,AB,0.00327172281107387
4,25,U,0.994971796784215
4,25,S,0.00175378133348917
4,25,A,0
4,25,B,0
4,25,AB,0.00327442186581359
4,26,U,0.994969458274483
4,26,S,0.00175378298522003
4,26,A,0
4,26,B,0
4,26,AB,0.00327675872823017
4,27,U,0.994967702729692
4,27,S,0.00175378285690993
4,27,A,0
4,27,B,0
4,27,AB,0.0032785144046582
4,28,U,0.994966196544515
4,28,S,0.00175378353002331
4,28,A,0
4,28,B,0
4,28,AB,0.00328001991919617
4,29,U,0.994964819630339
4,29,S,0.00175378512660076
4,29,A,0
4,29,B,0
4,29,AB,0.00328139523819469
4,30,U,0.994963618684635
4,30,S,0.00175378692376119
4,30,A,0
4,30,B,0
4,30,AB,0.00328259438748456
4,31,U,0.994962717950413
4,31,S,0.00175378780578558
4,31,A,0
4,31,B,0
4,31,AB,0.0032834942404989
4,32,U,0.994961924200019
4,32,S,0.00175378826522959
4,32,A,0
4,32,B,0
4,32,AB,0.00328428753183086
4,33,U,0.994961181306539
4,33,S,0.0017537881001102
4,33,A,0
4,33,B,0
4,33,AB,0.00328503059040003
4,34,U,0.994960558571046
4,34,S,0.00175378784414469
4,34,A,0
4,34,B,0
4,34,AB,0.00328565358175215
4,35,U,0.994960075390519
4,35,S,0.00175378773833691
4,35,A,0
4,35,B,0
4,35,AB,0.00328613686811401
4,36,U,0.994959655414569
4,36,S,0.00175378746208265
4,36,A,0
4,36,B,0
4,36,AB,0.00328655712045327
4,37,U,0.99495927567837
4,37,S,0.00175378700791175
4,37,A,0
4,37,B,0
4,37,AB,0.00328693731117439
4,38,U,0.994958974088731
4,38,S,0.00175378667040416
4,38,A,0
4,38,B,0
4,38,AB,0.00328723923858546
4,39,U,0.994958733886123
4,39,S,0.00175378647288094
4,39,A,0
4,39,B,0
4,39,AB,0.00328747963895945
4,40,U,0.994958532328748
4,40,S,0.0017537864089786
4,40,A,0
4,40,B,0
4,40,AB,0.00328768126056361
4,41,U,0.994958358436196
4,41,S,0.00175378653069467
4,41,A,0
4,41,B,0
4,41,AB,0.00328785503183589
4,42,U,0.994958194710512
4,42,S,0.00175378651917258
4,42,A,0
4,42,B,0
4,42,AB,0.00328801876927704
4,43,U,0.994958061137556
4,43,S,0.00175378652251186
4,43,A,0
4,43,B,0
4,43,AB,0.00328815233909215
4,44,U,0.994957958560764
4,44,S,0.00175378655542131
4,44,A,0
4,44,B,0
4,44,AB,0.00328825488315228
4,45,U,0.994957886980135
4,45,S,0.00175378661790092
4,45,A,0
4,45,B,0
4,45,AB,0.0032883264014574
4,46,U,0.99495784639567
4,46,S,0.0017537867099507
4,46,A,0
4,46,B,0
4,46,AB,0.00328836689400754
4,47,U,0.994957791979454
4,47,S,0.00175378674767616
4,47,A,0
4,47,B,0
4,47,AB,0.00328842127260484
4,48,U,0.994957744036906
4,48,S,0.00175378676907847
4,48,A,0
4,48,B,0
4,48,AB,0.00328846919383466
4,49,U,0.994957709295431
4,49,S,0.00175378678674781
4,49,A,0
4,49,B,0
4,49,AB,0.00328850391769987
4,50,U,0.994957687755031
4,50,S,0.00175378680068419
4,50,A,0
4,50,B,0
4,50,AB,0.00328852544420048
4,51,U,0.994957679415704
4,51,S,0.0017537868108876
4,51,A,0
4,51,B,0
4,51,AB,0.00328853377333648
4,52,U,0.994957673560436
4,52,S,0.00175378680494151
4,52,A,0
4,52,B,0
4,52,AB,0.00328853963455671
5,0,U,0.127659574468085
5,0,S,0.872340425531915
5,0,A,0
5,0,B,0
5,0,AB,0
5,1,U,0.856382978723404
5,1,S,0.0132978723404255
5,1,A,0.13031914893617
5,1,B,0
5,1,AB,0
5,2,U,0.74783196033631
5,2,S,0.0670353444460226
5,2,A,0.185132695223267
5,2,B,0
5,2,AB,0
5,3,U,0.773712006856483
5,3,S,0.0646806510998174
5,3,A,0.148115854371787
5,3,B,0.0132744653750062
5,3,AB,2.17022628722521e-4
5,4,U,0.841797921549325
5,4,S,0.0559252061395505
5,4,A,0.0640726249300404
5,4,B,0.0377993278072332
5,4,AB,4.04920197318951e-4
5,5,U,0.815009483976597
5,5,S,0.0697279187671905
5,5,A,0.0755769204855029
5,5,B,0.0382051056355456
5,5,AB,0.00148057154985304
5,6,U,0.736677939578182
5,6,S,0.0799041690366149
5,6,A,0.158866166233894
5,6,B,0.0219342675404013
5,6,AB,0.002617458924246
5,7,U,0.763666646128014
5,7,S,0.0680466028392854
5,7,A,0.134217653878913
5,7,B,0.0312647560954184
5,7,AB,0.00280434228101436
5,8,U,0.825185842923969
5,8,S,0.0567132948958675
5,8,A,0.0576667234308145
5,8,B,0.0578970451212499
5,8,AB,0.00253709461100586
5,9,U,0.800942904018038
5,9,S,0.0699630061739203
5,9,A,0.0712383228776879
5,9,B,0.0541509265332814
5,9,AB,0.00370484096411201
5,10,U,0.729354193115827
5,10,S,0.0800185150099793
5,10,A,0.154456582756485
5,10,B,0.0311232971839883
5,10,AB,0.00504741177867078
5,11,U,0.75836767170531
5,11,S,0.0678424400210344
5,11,A,0.130215710787169
5,11,B,0.0385722466693114
5,11,AB,0.00500193139791261
5,12,U,0.817667209743401
5,12,S,0.0565653028061813
5,12,A,0.0557886807862423
5,12,B,0.0656193627635117
5,12,AB,0.00435944416803743
5,13,U,0.794687121608866
5,13,S,0.0698897277476182
5,13,A,0.0697960652132794
5,13,B,0.0602369792128791
5,13,AB,0.00539010635164279
5,14,U,0.72579077800444
5,14,S,0.0800214108358935
5,14,A,0.152882544269813
5,14,B,0.0346350828559383
5,14,AB,0.00667018329207264
5,15,U,0.755391399506827
5,15,S,0.06783726803475
5,15,A,0.129005793073092
5,15,B,0.0413480630269059
5,15,AB,0.00641747632527946
5,16,U,0.81394791571154
5,16,S,0.0566048501418614
5,16,A,0.0553896952976085
5,16,B,0.068522737397059
5,16,AB,0.00553480222484575
5,17,U,0.791621230063224
5,17,S,0.0699096232241726
5,17,A,0.0695614176224256
5,17,B,0.0624734352094825
5,17,AB,0.00643429431096108
5,18,U,0.723808734708937
5,18,S,0.0800229056975663
5,18,A,0.152624025800258
5,18,B,0.0359251036627224
5,18,AB,0.00761923008335013
5,19,U,0.753347445863906
5,19,S,0.0678794289124903
5,19,A,0.12933825990852
5,19,B,0.0421995410748603
5,19,AB,0.00723532496931499
5,20,U,0.812457858852543
5,20,S,0.0565342109477896
5,20,A,0.0553432862726198
5,20,B,0.0694485087594285
5,20,AB,0.0062161355453171
5,21,U,0.790301317957329
5,21,S,0.0698335654951356
5,21,A,0.0696723135390454
5,21,B,0.0631741700877723
5,21,AB,0.00701863382790119
5,22,U,0.722867242396032
5,22,S,0.0799738741824865
5,22,A,0.152698764854519
5,22,B,0.0363302604460413
5,22,AB,0.00812985916121297
5,23,U,0.751420199792867
5,23,S,0.0680790905143105
5,23,A,0.130517463943297
5,23,B,0.0423121430988776
5,23,AB,0.0076711045015568
5,24,U,0.811338071660531
5,24,S,0.0566009042912127
5,24,A,0.0558782505718776
5,24,B,0.0696023481513919
5,24,AB,0.00658042681191137
5,25,U,0.789455050146792
5,25,S,0.0699117228985573
5,25,A,0.0700628092597795
5,25,B,0.0632399398788315
5,25,AB,0.0073304791110518
5,26,U,0.722115633790603
5,26,S,0.0800142074964125
5,26,A,0.153115490177287
5,26,B,0.0363633551921326
5,26,AB,0.00839131532507316
5,27,U,0.752505464568948
5,27,S,0.0678004912093776
5,27,A,0.129147819590698
5,27,B,0.0426632991594197
5,27,AB,0.00788292742219747
5,28,U,0.811570008474914
5,28,S,0.0565066572988062
5,28,A,0.0552563281308169
5,28,B,0.0699123985069119
5,28,AB,0.00675460895900703
5,29,U,0.789572949747127
5,29,S,0.0698994984392879
5,29,A,0.0695534552729568
5,29,B,0.0634929107347953
5,29,AB,0.00748118701041921
5,30,U,0.722362948890888
5,30,S,0.0800085113720259
5,30,A,0.152587959879377
5,30,B,0.036514619901793
5,30,AB,0.00852596161201286
5,31,U,0.751649552589192
5,31,S,0.0679997572931482
5,31,A,0.129701459994358
5,31,B,0.042649572807862
5,31,AB,0.00799965960570757
5,32,U,0.811111115501011
5,32,S,0.0565745895339908
5,32,A,0.0555247230955061
5,32,B,0.0699370601712521
5,32,AB,0.00685251355152153
5,33,U,0.78923415081219
5,33,S,0.069925210429647
5,33,A,0.0697671332568968
5,33,B,0.0635095723721668
5,33,AB,0.00756393435755963
5,34,U,0.722055173276479
5,34,S,0.0800242965141658
5,34,A,0.15280694745155
5,34,B,0.0365177418812254
5,34,AB,0.00859584137355164
5,35,U,0.751735516167608
5,35,S,0.0679586301799388
5,35,A,0.129508810813101
5,35,B,0.042741281590212
5,35,AB,0.00805576268546783
5,36,U,0.811072375179491
5,36,S,0.0565621188854209
5,36,A,0.0554426080611606
5,36,B,0.0700240136762223
5,36,AB,0.00689888535871643
5,37,U,0.789310521419155
5,37,S,0.0698045680203623
5,37,A,0.0695853667602506
5,37,B,0.0637036466195617
5,37,AB,0.00759589906299943
5,38,U,0.722192785512569
5,38,S,0.079961677950332
5,38,A,0.152580619618072
5,38,B,0.0366360153614225
5,38,AB,0.00862890338675943
5,39,U,0.752741636689423
5,39,S,0.0677705341534418
5,39,A,0.128425427441976
5,39,B,0.0429797431286472
5,39,AB,0.00808266149062149
5,40,U,0.811253453073374
5,40,S,0.0565463449955112
5,40,A,0.0550611080825267
5,40,B,0.0702196818789215
5,40,AB,0.00691941496203321
5,41,U,0.789215955504848
5,41,S,0.0699370050009499
5,41,A,0.0695576373745575
5,41,B,0.0636610236085279
5,41,AB,0.00762838122428704
5,42,U,0.722113969155182
5,42,S,0.0800333044690714
5,42,A,0.152592391072188
5,42,B,0.0366050057553722
5,42,AB,0.00865533077887648
5,43,U,0.752065206656908
5,43,S,0.0678734887747296
5,43,A,0.129199589984617
5,43,B,0.0427524645323364
5,43,AB,0.00810925157592481
5,44,U,0.811092264583595
5,44,S,0.056573921930323
5,44,A,0.0553876735432598
5,44,B,0.0700033947511719
5,44,AB,0.00694274693377695
5,45,U,0.789165788757926
5,45,S,0.0699334672570834
5,45,A,0.0697404866394803
5,45,B,0.0635181312460441
5,45,AB,0.00764212788036076
5,46,U,0.722005499756201
5,46,S,0.0800158216106601
5,46,A,0.152791209416628
5,46,B,0.0365269060356058
5,46,AB,0.00866056539619671
5,47,U,0.752574340473234
5,47,S,0.0677958772945822
5,47,A,0.128644921472677
5,47,B,0.0428772479349605
5,47,AB,0.00810761530935074
5,48,U,0.811169373481291
5,48,S,0.0565743302974985
5,48,A,0.0552058343608223
5,48,B,0.0701100868460004
5,48,AB,0.00694037783250163
5,49,U,0.789052843883696
5,49,S,0.0698940139883979
5,49,A,0.0698495133131855
5,49,B,0.0635623555563585
5,49,AB,0.00764127644241682
5,50,U,0.721912569079322
5,50,S,0.0799769812141669
5,50,A,0.152897402619125
5,50,B,0.0365517292981347
5,50,AB,0.00866132072669626
5,51,U,0.752471530033988
5,51,S,0.0677870694416995
5,51,A,0.12875054870278
5,51,B,0.0428818647323774
5,51,AB,0.0081089909346344791
5,52,U,0.811242717452803
5,52,S,0.056530510048749
5,52,A,0.055158740522999
5,52,B,0.0701260652290119
5,52,AB,0.00694197040124285
6,0,U,0.127659574468085
6,0,S,0.872340425531915
6,0,A,0
6,0,B,0
6,0,AB,0
6,1,U,0.88031914893617
