plate,transfer,p,mean,n,se,max,min
2,11,S,0.02127659574468085,4,0.009711392863566775,0.0425531914893617,0
2,11,A,0.6143617021276596,4,0.029893112234197463,0.6914893617021277,0.5531914893617021
2,11,B,0,4,0,0,0
2,11,A/B,0.015957446808510637,4,0.009213036210472751,0.031914893617021274,0
2,11,AB,0.1675531914893617,4,0.024326990663142273,0.20212765957446807,0.09574468085106383
2,11,E,0,4,0,0,0
2,12,U,0.13829787234042554,4,0.01302920075948499,0.1702127659574468,0.10638297872340426
2,12,S,0,4,0,0,0
2,12,A,0.6728723404255319,4,0.030206959286171686,0.7553191489361702,0.6276595744680851
2,12,B,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
2,12,A/B,0.010638297872340425,4,0.00434306691982833,0.02127659574468085,0
2,12,AB,0.17553191489361702,4,0.03176679586377468,0.23404255319148937,0.0851063829787234
2,12,E,0,4,0,0,0
2,13,U,0.0851063829787234,4,0.016820625851959464,0.1276595744680851,0.05319148936170213
2,13,S,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
2,13,A,0.699468085106383,4,0.03893650931914493,0.8085106382978723,0.6382978723404256
2,13,B,0,4,0,0,0
2,13,A/B,0.015957446808510637,4,0.003071012070157584,0.02127659574468085,0.010638297872340425
2,13,AB,0.19680851063829785,4,0.04199545844796812,0.26595744680851063,0.07446808510638298
2,13,E,0,4,0,0,0
3,0,U,0.15159574468085107,4,0.0109657064511108,0.1702127659574468,0.1276595744680851
3,0,S,0.49734042553191493,4,0.04174204740068636,0.574468085106383,0.4148936170212766
3,0,A,0.1675531914893617,4,0.02655138143948925,0.24468085106382978,0.1276595744680851
3,0,B,0.10904255319148935,4,0.012568658580459063,0.1276595744680851,0.07446808510638298
3,0,A/B,0.047872340425531915,4,0.018680237150448118,0.0851063829787234,0.010638297872340425
3,0,AB,0.026595744680851064,4,0.023185632678407838,0.09574468085106383,0
3,0,E,0,4,0,0,0
3,1,U,0.6037234042553191,4,0.04059664234700465,0.6808510638297872,0.48936170212765956
3,1,S,0.0425531914893617,4,0.008686133839656659,0.06382978723404255,0.02127659574468085
3,1,A,0.045212765957446804,4,0.010965706451110798,0.06382978723404255,0.02127659574468085
3,1,B,0.09042553191489361,4,0.01266210714280647,0.1276595744680851,0.07446808510638298
3,1,A/B,0.18351063829787234,4,0.013989125742960545,0.22340425531914893,0.1595744680851064
3,1,AB,0.03457446808510638,4,0.031129521039147935,0.1276595744680851,0
3,1,E,0,4,0,0,0
3,2,U,0.5531914893617021,4,0.05336849979890926,0.6170212765957447,0.39361702127659576
3,2,S,0.02925531914893617,4,0.015278092145047948,0.07446808510638298,0.010638297872340425
3,2,A,0.007978723404255319,4,0.005092697381682649,0.02127659574468085,0
3,2,B,0.3617021276595745,4,0.026058401518969983,0.425531914893617,0.2978723404255319
3,2,A/B,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
3,2,AB,0.0425531914893617,4,0.0425531914893617,0.1702127659574468,0
3,2,E,0,4,0,0,0
3,3,U,0.4015957446808511,4,0.04603958217233611,0.48936170212765956,0.2978723404255319
3,3,S,0.015957446808510637,4,0.00686699174859471,0.031914893617021274,0
3,3,A,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
3,3,B,0.526595744680851,4,0.027639108631418264,0.6063829787234043,0.4787234042553192
3,3,A/B,0,4,0,0,0
3,3,AB,0.05053191489361702,4,0.04705267556636737,0.19148936170212766,0
3,3,E,0,4,0,0,0
3,4,U,0.34308510638297873,4,0.043076349692398375,0.425531914893617,0.24468085106382978
3,4,S,0.09042553191489361,4,0.009213036210472753,0.10638297872340426,0.07446808510638298
3,4,A,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,4,B,0.4973404255319149,4,0.025463486908413244,0.5638297872340425,0.4574468085106383
3,4,A/B,0.010638297872340425,4,0.00434306691982833,0.02127659574468085,0
3,4,AB,0.05585106382978723,4,0.05585106382978723,0.22340425531914893,0
3,4,E,0,4,0,0,0
3,5,U,0.41223404255319146,4,0.028603308164719284,0.48936170212765956,0.35106382978723405
3,5,S,0.05053191489361702,4,0.026193770749457723,0.1276595744680851,0.010638297872340425
3,5,A,0,4,0,0,0
3,5,B,0.4813829787234043,4,0.026551381439489253,0.5531914893617021,0.425531914893617
3,5,A/B,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,5,AB,0.05319148936170213,4,0.05319148936170213,0.2127659574468085,0
3,5,E,0,4,0,0,0
3,6,U,0.3803191489361702,4,0.027252528632871274,0.43617021276595747,0.30851063829787234
3,6,S,0.026595744680851064,4,0.0165379061224979,0.07446808510638298,0
3,6,A,0,4,0,0,0
3,6,B,0.49468085106382975,4,0.030863289336044698,0.5531914893617021,0.43617021276595747
3,6,A/B,0.023936170212765957,4,0.011794445652172048,0.05319148936170213,0
3,6,AB,0.07446808510638298,4,0.057124126573003586,0.24468085106382978,0
3,6,E,0,4,0,0,0
3,7,U,0.22606382978723405,4,0.011794445652172048,0.24468085106382978,0.19148936170212766
3,7,S,0.010638297872340425,4,0.00434306691982833,0.02127659574468085,0
3,7,A,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
3,7,B,0.6436170212765957,4,0.044397106473577724,0.6914893617021277,0.5106382978723404
3,7,A/B,0.029255319148936167,4,0.006693115634105275,0.0425531914893617,0.010638297872340425
3,7,AB,0.0851063829787234,4,0.06397737075414439,0.2765957446808511,0.010638297872340425
3,7,E,0,4,0,0,0
3,8,U,0.10638297872340424,4,0.012284048280630334,0.1276595744680851,0.0851063829787234
3,8,S,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,8,A,0,4,0,0,0
3,8,B,0.8218085106382979,4,0.0529025842121833,0.9148936170212766,0.6702127659574468
3,8,A/B,0,4,0,0,0
3,8,AB,0.06914893617021277,4,0.05899221545962456,0.24468085106382978,0
3,8,E,0,4,0,0,0
3,9,U,0.11968085106382978,4,0.013989125742960549,0.14893617021276595,0.09574468085106383
3,9,S,0,4,0,0,0
3,9,A,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
3,9,B,0.7952127659574468,4,0.057350687906510184,0.8829787234042553,0.6276595744680851
3,9,A/B,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,9,AB,0.07712765957446809,4,0.06691354056068684,0.2765957446808511,0
3,9,E,0,4,0,0,0
3,10,U,0.12234042553191489,4,0.015355060350787922,0.1595744680851064,0.0851063829787234
3,10,S,0.0797872340425532,4,0.02475929085774635,0.1276595744680851,0.031914893617021274
3,10,A,0.010638297872340425,4,0.00434306691982833,0.02127659574468085,0
3,10,B,0.6968085106382979,4,0.05962826851347601,0.7872340425531915,0.5212765957446809
3,10,A/B,0.02127659574468085,4,0.006142024140315167,0.031914893617021274,0.010638297872340425
3,10,AB,0.06914893617021277,4,0.05867160321905779,0.24468085106382978,0
3,10,E,0,4,0,0,0
3,11,U,0.125,4,0.01702958573785332,0.1595744680851064,0.09574468085106383
3,11,S,0.05319148936170212,4,0.007522412565814335,0.06382978723404255,0.031914893617021274
3,11,A,0,4,0,0,0
3,11,B,0.6835106382978723,4,0.06648936170212766,0.7872340425531915,0.48936170212765956
3,11,A/B,0.03723404255319149,4,0.013386231268210548,0.06382978723404255,0
3,11,AB,0.10106382978723405,4,0.06271184107740212,0.2872340425531915,0.02127659574468085
3,11,E,0,4,0,0,0
3,12,U,0.09840425531914894,4,0.00509269738168265,0.10638297872340426,0.0851063829787234
3,12,S,0.06648936170212766,4,0.007978723404255319,0.0851063829787234,0.05319148936170213
3,12,A,0.013297872340425532,4,0.005092697381682649,0.02127659574468085,0
3,12,B,0.6569148936170213,4,0.07564607794323346,0.776595744680851,0.43617021276595747
3,12,A/B,0.0425531914893617,4,0.006142024140315169,0.05319148936170213,0.031914893617021274
3,12,AB,0.12234042553191489,4,0.07402349555017057,0.3404255319148936,0.010638297872340425
3,12,E,0,4,0,0,0
3,13,U,NA,4,NA,NA,NA
3,13,S,NA,4,NA,NA,NA
3,13,A,NA,4,NA,NA,NA
3,13,B,NA,4,NA,NA,NA
3,13,A/B,NA,4,NA,NA,NA
3,13,AB,NA,4,NA,NA,NA
3,13,E,NA,4,NA,NA,NA
4,0,U,0.10638297872340426,4,0.004343066919828331,0.11702127659574468,0.09574468085106383
4,0,S,0.5159574468085106,4,0.040158693804631655,0.5957446808510638,0.44680851063829785
4,0,A,0.18351063829787234,4,0.030517578861805863,0.26595744680851063,0.1276595744680851
4,0,B,0.1223404255319149,4,0.01595744680851064,0.1595744680851064,0.09574468085106383
