agarN,agarA,agarB,agarAB,growth,growthA,growthB,growthAB,p256,p
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,241,AB
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,242,AB
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,243,AB
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,244,AB
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,245,AB
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,246,AB
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,247,AB
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,248,AB
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,249,AB
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,250,AB
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,251,AB
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,252,AB
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,253,AB
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,254,AB
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,255,AB
