plate,transfer,p,mean,n,se,max,min
1,25,S,0.9361702127659575,4,0.004343066919828336,0.9468085106382979,0.925531914893617
1,25,A,0.018617021276595744,4,0.005092697381682649,0.031914893617021274,0.010638297872340425
1,25,B,0,4,0,0,0
1,25,A/B,0,4,0,0,0
1,25,AB,0,4,0,0,0
1,25,E,0,4,0,0,0
1,26,U,0.0851063829787234,4,0.006142024140315169,0.09574468085106383,0.07446808510638298
1,26,S,0.9148936170212766,4,0.006142024140315144,0.925531914893617,0.9042553191489362
1,26,A,0,4,0,0,0
1,26,B,0,4,0,0,0
1,26,A/B,0,4,0,0,0
1,26,AB,0,4,0,0,0
1,26,E,0,4,0,0,0
1,27,U,0.11436170212765957,4,0.009084176210957091,0.13829787234042554,0.09574468085106383
1,27,S,0.8829787234042553,4,0.00971139286356678,0.9042553191489362,0.8617021276595744
1,27,A,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
1,27,B,0,4,0,0,0
1,27,A/B,0,4,0,0,0
1,27,AB,0,4,0,0,0
1,27,E,0,4,0,0,0
1,28,U,0.07712765957446809,4,0.00908417621095709,0.09574468085106383,0.05319148936170213
1,28,S,0.9228723404255319,4,0.009084176210957081,0.9468085106382979,0.9042553191489362
1,28,A,0,4,0,0,0
1,28,B,0,4,0,0,0
1,28,A/B,0,4,0,0,0
1,28,AB,0,4,0,0,0
1,28,E,0,4,0,0,0
1,29,U,0.10106382978723405,4,0.0053191489361702135,0.11702127659574468,0.09574468085106383
1,29,S,0.898936170212766,4,0.0053191489361702204,0.9042553191489362,0.8829787234042553
1,29,A,0,4,0,0,0
1,29,B,0,4,0,0,0
1,29,A/B,0,4,0,0,0
1,29,AB,0,4,0,0,0
1,29,E,0,4,0,0,0
1,30,U,0.0797872340425532,4,0.0030710120701575843,0.0851063829787234,0.07446808510638298
1,30,S,0.9175531914893617,4,0.00509269738168263,0.925531914893617,0.9042553191489362
1,30,A,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
1,30,B,0,4,0,0,0
1,30,A/B,0,4,0,0,0
1,30,AB,0,4,0,0,0
1,30,E,0,4,0,0,0
1,31,U,0.03723404255319149,4,0.0030710120701575843,0.0425531914893617,0.031914893617021274
1,31,S,0.9627659574468086,4,0.003071012070157572,0.9680851063829787,0.9574468085106383
1,31,A,0,4,0,0,0
1,31,B,0,4,0,0,0
1,31,A/B,0,4,0,0,0
1,31,AB,0,4,0,0,0
1,31,E,0,4,0,0,0
1,32,U,0.02127659574468085,4,0,0.02127659574468085,0.02127659574468085
1,32,S,0.9787234042553191,4,0,0.9787234042553191,0.9787234042553191
1,32,A,0,4,0,0,0
1,32,B,0,4,0,0,0
1,32,A/B,0,4,0,0,0
1,32,AB,0,4,0,0,0
1,32,E,0,4,0,0,0
1,33,U,0.02127659574468085,4,0,0.02127659574468085,0.02127659574468085
1,33,S,0.9787234042553191,4,0,0.9787234042553191,0.9787234042553191
1,33,A,0,4,0,0,0
1,33,B,0,4,0,0,0
1,33,A/B,0,4,0,0,0
1,33,AB,0,4,0,0,0
1,33,E,0,4,0,0,0
1,34,U,0.045212765957446804,4,0.0026595744680851068,0.05319148936170213,0.0425531914893617
1,34,S,0.949468085106383,4,0.002659574468085124,0.9574468085106383,0.9468085106382979
1,34,A,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
1,34,B,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
1,34,A/B,0,4,0,0,0
1,34,AB,0,4,0,0,0
1,34,E,0,4,0,0,0
1,35,U,0.07712765957446809,4,0.0026595744680851068,0.0851063829787234,0.07446808510638298
1,35,S,0.9228723404255319,4,0.0026595744680850963,0.925531914893617,0.9148936170212766
1,35,A,0,4,0,0,0
1,35,B,0,4,0,0,0
1,35,A/B,0,4,0,0,0
1,35,AB,0,4,0,0,0
1,35,E,0,4,0,0,0
1,36,U,0.06914893617021275,4,0.0030710120701575843,0.07446808510638298,0.06382978723404255
1,36,S,0.8936170212765957,4,0.00868613383965665,0.9148936170212766,0.8723404255319149
1,36,A,0.03723404255319149,4,0.011072691486521982,0.06382978723404255,0.010638297872340425
1,36,B,0,4,0,0,0
1,36,A/B,0,4,0,0,0
1,36,AB,0,4,0,0,0
1,36,E,0,4,0,0,0
1,37,U,0.11702127659574468,4,0.025324214285612944,0.19148936170212766,0.0851063829787234
1,37,S,0.8218085106382979,4,0.026551381439489256,0.8617021276595744,0.7446808510638298
1,37,A,0.061170212765957445,4,0.002659574468085105,0.06382978723404255,0.05319148936170213
1,37,B,0,4,0,0,0
1,37,A/B,0,4,0,0,0
1,37,AB,0,4,0,0,0
1,37,E,0,4,0,0,0
1,38,U,0.07180851063829786,4,0.01179444565217205,0.10638297872340426,0.05319148936170213
1,38,S,0.9281914893617021,4,0.011794445652172058,0.9468085106382979,0.8936170212765957
1,38,A,0,4,0,0,0
1,38,B,0,4,0,0,0
1,38,A/B,0,4,0,0,0
1,38,AB,0,4,0,0,0
1,38,E,0,4,0,0,0
1,39,U,0.23138297872340424,4,0.014647794008739634,0.26595744680851063,0.20212765957446807
1,39,S,0.6728723404255319,4,0.03669184767123205,0.7340425531914894,0.574468085106383
1,39,A,0.09308510638297872,4,0.042856850940680216,0.2127659574468085,0.010638297872340425
1,39,B,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
1,39,A/B,0,4,0,0,0
1,39,AB,0,4,0,0,0
1,39,E,0,4,0,0,0
1,40,U,0.1702127659574468,4,0.009711392863566776,0.19148936170212766,0.14893617021276595
1,40,S,0.8297872340425532,4,0.009711392863566789,0.851063829787234,0.8085106382978723
1,40,A,0,4,0,0,0
1,40,B,0,4,0,0,0
1,40,A/B,0,4,0,0,0
1,40,AB,0,4,0,0,0
1,40,E,0,4,0,0,0
1,41,U,0.16489361702127658,4,0.013386231268210544,0.20212765957446807,0.13829787234042554
1,41,S,0.8351063829787234,4,0.01338623126821055,0.8617021276595744,0.7978723404255319
1,41,A,0,4,0,0,0
1,41,B,0,4,0,0,0
1,41,A/B,0,4,0,0,0
1,41,AB,0,4,0,0,0
1,41,E,0,4,0,0,0
1,42,U,0.11702127659574468,4,0.008686133839656662,0.13829787234042554,0.09574468085106383
1,42,S,0.8803191489361702,4,0.010965706451110802,0.9042553191489362,0.851063829787234
1,42,A,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
1,42,B,0,4,0,0,0
1,42,A/B,0,4,0,0,0
1,42,AB,0,4,0,0,0
1,42,E,0,4,0,0,0
1,43,U,0.10638297872340426,4,0.011490674997177059,0.13829787234042554,0.0851063829787234
1,43,S,0.8856382978723404,4,0.013297872340425527,0.9148936170212766,0.851063829787234
1,43,A,0.007978723404255319,4,0.005092697381682649,0.02127659574468085,0
1,43,B,0,4,0,0,0
1,43,A/B,0,4,0,0,0
1,43,AB,0,4,0,0,0
1,43,E,0,4,0,0,0
1,44,U,0.09574468085106383,4,0.007522412565814336,0.11702127659574468,0.0851063829787234
1,44,S,0.9042553191489362,4,0.007522412565814333,0.9148936170212766,0.8829787234042553
1,44,A,0,4,0,0,0
