plate,transfer,rep,p,n,f
1,7,4,AB,13,0.13829787234042554
1,7,4,E,0,0
1,8,1,U,6,0.06382978723404255
1,8,1,S,30,0.3191489361702128
1,8,1,A,17,0.18085106382978725
1,8,1,B,11,0.11702127659574468
1,8,1,A/B,18,0.19148936170212766
1,8,1,AB,12,0.1276595744680851
1,8,1,E,0,0
1,8,2,U,6,0.06382978723404255
1,8,2,S,31,0.32978723404255317
1,8,2,A,17,0.18085106382978725
1,8,2,B,12,0.1276595744680851
1,8,2,A/B,16,0.1702127659574468
1,8,2,AB,12,0.1276595744680851
1,8,2,E,0,0
1,8,3,U,6,0.06382978723404255
1,8,3,S,28,0.2978723404255319
1,8,3,A,14,0.14893617021276595
1,8,3,B,10,0.10638297872340426
1,8,3,A/B,20,0.2127659574468085
1,8,3,AB,16,0.1702127659574468
1,8,3,E,0,0
1,8,4,U,6,0.06382978723404255
1,8,4,S,30,0.3191489361702128
1,8,4,A,17,0.18085106382978725
1,8,4,B,11,0.11702127659574468
1,8,4,A/B,18,0.19148936170212766
1,8,4,AB,12,0.1276595744680851
1,8,4,E,0,0
1,9,1,U,5,0.05319148936170213
1,9,1,S,31,0.32978723404255317
1,9,1,A,10,0.10638297872340426
1,9,1,B,11,0.11702127659574468
1,9,1,A/B,19,0.20212765957446807
1,9,1,AB,18,0.19148936170212766
1,9,1,E,0,0
1,9,2,U,5,0.05319148936170213
1,9,2,S,28,0.2978723404255319
1,9,2,A,16,0.1702127659574468
1,9,2,B,11,0.11702127659574468
1,9,2,A/B,17,0.18085106382978725
1,9,2,AB,17,0.18085106382978725
1,9,2,E,0,0
1,9,3,U,5,0.05319148936170213
1,9,3,S,30,0.3191489361702128
1,9,3,A,8,0.0851063829787234
1,9,3,B,9,0.09574468085106383
1,9,3,A/B,19,0.20212765957446807
1,9,3,AB,23,0.24468085106382978
1,9,3,E,0,0
1,9,4,U,5,0.05319148936170213
1,9,4,S,28,0.2978723404255319
1,9,4,A,14,0.14893617021276595
1,9,4,B,12,0.1276595744680851
1,9,4,A/B,19,0.20212765957446807
1,9,4,AB,16,0.1702127659574468
1,9,4,E,0,0
1,10,1,U,6,0.06382978723404255
1,10,1,S,29,0.30851063829787234
1,10,1,A,14,0.14893617021276595
1,10,1,B,12,0.1276595744680851
1,10,1,A/B,23,0.24468085106382978
1,10,1,AB,10,0.10638297872340426
1,10,1,E,0,0
1,10,2,U,5,0.05319148936170213
1,10,2,S,27,0.2872340425531915
1,10,2,A,13,0.13829787234042554
1,10,2,B,18,0.19148936170212766
1,10,2,A/B,22,0.23404255319148937
1,10,2,AB,9,0.09574468085106383
1,10,2,E,0,0
1,10,3,U,5,0.05319148936170213
1,10,3,S,25,0.26595744680851063
1,10,3,A,8,0.0851063829787234
1,10,3,B,15,0.1595744680851064
1,10,3,A/B,23,0.24468085106382978
1,10,3,AB,18,0.19148936170212766
1,10,3,E,0,0
1,10,4,U,5,0.05319148936170213
1,10,4,S,28,0.2978723404255319
1,10,4,A,14,0.14893617021276595
1,10,4,B,16,0.1702127659574468
1,10,4,A/B,19,0.20212765957446807
1,10,4,AB,12,0.1276595744680851
1,10,4,E,0,0
1,11,1,U,6,0.06382978723404255
1,11,1,S,25,0.26595744680851063
1,11,1,A,16,0.1702127659574468
1,11,1,B,14,0.14893617021276595
1,11,1,A/B,14,0.14893617021276595
1,11,1,AB,19,0.20212765957446807
1,11,1,E,0,0
1,11,2,U,5,0.05319148936170213
1,11,2,S,25,0.26595744680851063
1,11,2,A,16,0.1702127659574468
1,11,2,B,17,0.18085106382978725
1,11,2,A/B,14,0.14893617021276595
1,11,2,AB,17,0.18085106382978725
1,11,2,E,0,0
1,11,3,U,5,0.05319148936170213
1,11,3,S,22,0.23404255319148937
1,11,3,A,10,0.10638297872340426
1,11,3,B,14,0.14893617021276595
1,11,3,A/B,17,0.18085106382978725
1,11,3,AB,26,0.2765957446808511
1,11,3,E,0,0
1,11,4,U,5,0.05319148936170213
1,11,4,S,23,0.24468085106382978
1,11,4,A,17,0.18085106382978725
1,11,4,B,14,0.14893617021276595
1,11,4,A/B,20,0.2127659574468085
1,11,4,AB,15,0.1595744680851064
1,11,4,E,0,0
1,12,1,U,6,0.06382978723404255
1,12,1,S,19,0.20212765957446807
1,12,1,A,20,0.2127659574468085
1,12,1,B,15,0.1595744680851064
1,12,1,A/B,15,0.1595744680851064
1,12,1,AB,19,0.20212765957446807
1,12,1,E,0,0
1,12,2,U,5,0.05319148936170213
1,12,2,S,21,0.22340425531914893
1,12,2,A,17,0.18085106382978725
1,12,2,B,21,0.22340425531914893
1,12,2,A/B,13,0.13829787234042554
1,12,2,AB,17,0.18085106382978725
1,12,2,E,0,0
1,12,3,U,5,0.05319148936170213
1,12,3,S,13,0.13829787234042554
1,12,3,A,15,0.1595744680851064
1,12,3,B,15,0.1595744680851064
1,12,3,A/B,18,0.19148936170212766
1,12,3,AB,28,0.2978723404255319
1,12,3,E,0,0
1,12,4,U,5,0.05319148936170213
1,12,4,S,22,0.23404255319148937
1,12,4,A,16,0.1702127659574468
1,12,4,B,18,0.19148936170212766
1,12,4,A/B,14,0.14893617021276595
1,12,4,AB,19,0.20212765957446807
1,12,4,E,0,0
1,13,1,U,8,0.0851063829787234
1,13,1,S,18,0.19148936170212766
1,13,1,A,13,0.13829787234042554
1,13,1,B,17,0.18085106382978725
1,13,1,A/B,18,0.19148936170212766
1,13,1,AB,20,0.2127659574468085
1,13,1,E,0,0
1,13,2,U,7,0.07446808510638298
1,13,2,S,18,0.19148936170212766
1,13,2,A,13,0.13829787234042554
1,13,2,B,20,0.2127659574468085
1,13,2,A/B,13,0.13829787234042554
1,13,2,AB,23,0.24468085106382978
1,13,2,E,0,0
1,13,3,U,7,0.07446808510638298
1,13,3,S,10,0.10638297872340426
1,13,3,A,11,0.11702127659574468
1,13,3,B,21,0.22340425531914893
1,13,3,A/B,13,0.13829787234042554
1,13,3,AB,32,0.3404255319148936
1,13,3,E,0,0
1,13,4,U,7,0.07446808510638298
1,13,4,S,15,0.1595744680851064
1,13,4,A,18,0.19148936170212766
1,13,4,B,18,0.19148936170212766
1,13,4,A/B,15,0.1595744680851064
1,13,4,AB,21,0.22340425531914893
1,13,4,E,0,0
1,14,1,U,7,0.07446808510638298
1,14,1,S,21,0.22340425531914893
1,14,1,A,12,0.1276595744680851
1,14,1,B,24,0.2553191489361702
1,14,1,A/B,11,0.11702127659574468
1,14,1,AB,19,0.20212765957446807
1,14,1,E,0,0
1,14,2,U,7,0.07446808510638298
1,14,2,S,18,0.19148936170212766
1,14,2,A,12,0.1276595744680851
