plate,transfer,p,mean,n,se,max,min
1,5,S,0.6861702127659575,4,0.07286781059586708,0.8191489361702128,0.4787234042553192
1,5,A,0.2765957446808511,4,0.055107341375603025,0.425531914893617,0.1595744680851064
1,5,B,0.015957446808510637,4,0.015957446808510637,0.06382978723404255,0
1,5,A/B,0.007978723404255319,4,0.007978723404255319,0.031914893617021274,0
1,5,AB,0,4,0,0,0
1,5,E,0,4,0,0,0
2,0,U,0.11170212765957446,4,0.03723404255319149,0.14893617021276595,0
2,0,S,0.7207446808510638,4,0.09888229677888143,0.8936170212765957,0.43617021276595747
2,0,A,0.16489361702127658,4,0.08382231669200577,0.4148936170212766,0.06382978723404255
2,0,B,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
2,0,A/B,0,4,0,0,0
2,0,AB,0,4,0,0,0
2,0,E,0,4,0,0,0
2,1,U,0.9441489361702128,4,0.02725252863287127,1,0.8829787234042553
2,1,S,0.007978723404255319,4,0.007978723404255319,0.031914893617021274,0
2,1,A,0.047872340425531915,4,0.021931412902221597,0.0851063829787234,0
2,1,B,0,4,0,0,0
2,1,A/B,0,4,0,0,0
2,1,AB,0,4,0,0,0
2,1,E,0,4,0,0,0
2,2,U,0.9893617021276596,4,0.010638297872340413,1,0.9574468085106383
2,2,S,0,4,0,0,0
2,2,A,0.010638297872340425,4,0.010638297872340425,0.0425531914893617,0
2,2,B,0,4,0,0,0
2,2,A/B,0,4,0,0,0
2,2,AB,0,4,0,0,0
2,2,E,0,4,0,0,0
2,3,U,0.9840425531914894,4,0.015957446808510634,1,0.9361702127659575
2,3,S,0,4,0,0,0
2,3,A,0.015957446808510637,4,0.015957446808510637,0.06382978723404255,0
2,3,B,0,4,0,0,0
2,3,A/B,0,4,0,0,0
2,3,AB,0,4,0,0,0
2,3,E,0,4,0,0,0
2,4,U,1,4,0,1,1
2,4,S,0,4,0,0,0
2,4,A,0,4,0,0,0
2,4,B,0,4,0,0,0
2,4,A/B,0,4,0,0,0
2,4,AB,0,4,0,0,0
2,4,E,0,4,0,0,0
2,5,U,0.9787234042553191,4,0.013029200759484993,1,0.9468085106382979
2,5,S,0,4,0,0,0
2,5,A,0,4,0,0,0
2,5,B,0,4,0,0,0
2,5,A/B,0,4,0,0,0
2,5,AB,0.02127659574468085,4,0.01302920075948499,0.05319148936170213,0
2,5,E,0,4,0,0,0
3,0,U,0.11170212765957446,4,0.03723404255319149,0.14893617021276595,0
3,0,S,0.7978723404255319,4,0.06397737075414439,0.9361702127659575,0.6276595744680851
3,0,A,0.09042553191489361,4,0.04523883270274139,0.22340425531914893,0.02127659574468085
3,0,B,0,4,0,0,0
3,0,A/B,0,4,0,0,0
3,0,AB,0,4,0,0,0
3,0,E,0,4,0,0,0
3,1,U,0.9122340425531915,4,0.043943382026218905,1,0.8085106382978723
3,1,S,0.02127659574468085,4,0.009711392863566775,0.0425531914893617,0
3,1,A,0.06648936170212766,4,0.03893650931914495,0.14893617021276595,0
3,1,B,0,4,0,0,0
3,1,A/B,0,4,0,0,0
3,1,AB,0,4,0,0,0
3,1,E,0,4,0,0,0
3,2,U,0.9920212765957447,4,0.007978723404255317,1,0.9680851063829787
3,2,S,0,4,0,0,0
3,2,A,0.007978723404255319,4,0.007978723404255319,0.031914893617021274,0
3,2,B,0,4,0,0,0
3,2,A/B,0,4,0,0,0
3,2,AB,0,4,0,0,0
3,2,E,0,4,0,0,0
3,3,U,0.9840425531914894,4,0.012662107142806479,1,0.9468085106382979
3,3,S,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,3,A,0.013297872340425532,4,0.013297872340425532,0.05319148936170213,0
3,3,B,0,4,0,0,0
3,3,A/B,0,4,0,0,0
3,3,AB,0,4,0,0,0
3,3,E,0,4,0,0,0
3,4,U,0.9893617021276596,4,0.007522412565814333,1,0.9680851063829787
3,4,S,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,4,A,0.007978723404255319,4,0.005092697381682649,0.02127659574468085,0
3,4,B,0,4,0,0,0
3,4,A/B,0,4,0,0,0
3,4,AB,0,4,0,0,0
3,4,E,0,4,0,0,0
3,5,U,0.9840425531914894,4,0.015957446808510634,1,0.9361702127659575
3,5,S,0,4,0,0,0
3,5,A,0,4,0,0,0
3,5,B,0,4,0,0,0
3,5,A/B,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,5,AB,0.013297872340425532,4,0.013297872340425532,0.05319148936170213,0
3,5,E,0,4,0,0,0
4,0,U,0.09840425531914894,4,0.03402454089077214,0.14893617021276595,0
4,0,S,0.851063829787234,4,0.04188302060644582,0.9680851063829787,0.776595744680851
4,0,A,0.05053191489361702,4,0.023134731118262215,0.11702127659574468,0.010638297872340425
4,0,B,0,4,0,0,0
4,0,A/B,0,4,0,0,0
4,0,AB,0,4,0,0,0
4,0,E,0,4,0,0,0
4,1,U,0.6888297872340425,4,0.03795527416419795,0.776595744680851,0.5957446808510638
4,1,S,0.09308510638297872,4,0.03402454089077214,0.18085106382978725,0.02127659574468085
4,1,A,0.2180851063829787,4,0.0053191489361702135,0.22340425531914893,0.20212765957446807
4,1,B,0,4,0,0,0
4,1,A/B,0,4,0,0,0
4,1,AB,0,4,0,0,0
4,1,E,0,4,0,0,0
4,2,U,0.8723404255319149,4,0.028146290543240315,0.9468085106382979,0.8191489361702128
4,2,S,0,4,0,0,0
4,2,A,0.12765957446808512,4,0.02814629054324033,0.18085106382978725,0.05319148936170213
4,2,B,0,4,0,0,0
4,2,A/B,0,4,0,0,0
4,2,AB,0,4,0,0,0
4,2,E,0,4,0,0,0
4,3,U,0.8537234042553192,4,0.020997729223984067,0.9042553191489362,0.8191489361702128
4,3,S,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
4,3,A,0.14361702127659576,4,0.019664071819874854,0.18085106382978725,0.09574468085106383
4,3,B,0,4,0,0,0
4,3,A/B,0,4,0,0,0
4,3,AB,0,4,0,0,0
4,3,E,0,4,0,0,0
4,4,U,0.8909574468085106,4,0.034846177317435355,0.9787234042553191,0.8297872340425532
4,4,S,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
4,4,A,0.10638297872340426,4,0.03554953485064436,0.1702127659574468,0.02127659574468085
4,4,B,0,4,0,0,0
4,4,A/B,0,4,0,0,0
4,4,AB,0,4,0,0,0
4,4,E,0,4,0,0,0
4,5,U,0.9122340425531915,4,0.050531914893617046,0.9893617021276596,0.776595744680851
4,5,S,0.02127659574468085,4,0.01790692364957815,0.07446808510638298,0
4,5,A,0.05585106382978723,4,0.03844902206064085,0.1702127659574468,0.010638297872340425
4,5,B,0,4,0,0,0
4,5,A/B,0,4,0,0,0
4,5,AB,0.010638297872340425,4,0.010638297872340425,0.0425531914893617,0
4,5,E,0,4,0,0,0
5,0,U,0.08776595744680851,4,0.029575934960305455,0.1276595744680851,0
5,0,S,0.8803191489361702,4,0.04196737722888165,1,0.8085106382978723
5,0,A,0.031914893617021274,4,0.020370789526730597,0.0851063829787234,0
5,0,B,0,4,0,0,0
5,0,A/B,0,4,0,0,0
5,0,AB,0,4,0,0,0
5,0,E,0,4,0,0,0
5,1,U,0.6675531914893618,4,0.044793635094538244,0.7553191489361702,0.5425531914893617
5,1,S,0.14095744680851063,4,0.0369479893336431,0.23404255319148937,0.05319148936170213
5,1,A,0.19148936170212766,4,0.011490674997177054,0.22340425531914893,0.1702127659574468
5,1,B,0,4,0,0,0
5,1,A/B,0,4,0,0,0
5,1,AB,0,4,0,0,0
5,1,E,0,4,0,0,0
5,2,U,0.8962765957446809,4,0.011794445652172058,0.9148936170212766,0.8617021276595744
5,2,S,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
5,2,A,0.09840425531914894,4,0.013989125742960552,0.13829787234042554,0.07446808510638298
5,2,B,0,4,0,0,0
5,2,A/B,0,4,0,0,0
5,2,AB,0,4,0,0,0
5,2,E,0,4,0,0,0
5,3,U,0.8537234042553191,4,0.020543670613929907,0.9148936170212766,0.8297872340425532
