plate,transfer,rep,p,n,f
1,3,1,S,45,0.4787234042553192
1,3,1,A,16,0.1702127659574468
1,3,1,B,23,0.24468085106382978
1,3,1,A/B,3,0.031914893617021274
1,3,1,AB,0,0
1,3,1,E,0,0
1,3,2,U,7,0.07446808510638298
1,3,2,S,45,0.4787234042553192
1,3,2,A,16,0.1702127659574468
1,3,2,B,23,0.24468085106382978
1,3,2,A/B,3,0.031914893617021274
1,3,2,AB,0,0
1,3,2,E,0,0
1,3,3,U,7,0.07446808510638298
1,3,3,S,45,0.4787234042553192
1,3,3,A,16,0.1702127659574468
1,3,3,B,23,0.24468085106382978
1,3,3,A/B,3,0.031914893617021274
1,3,3,AB,0,0
1,3,3,E,0,0
1,3,4,U,7,0.07446808510638298
1,3,4,S,45,0.4787234042553192
1,3,4,A,16,0.1702127659574468
1,3,4,B,23,0.24468085106382978
1,3,4,A/B,3,0.031914893617021274
1,3,4,AB,0,0
1,3,4,E,0,0
1,4,1,U,6,0.06382978723404255
1,4,1,S,44,0.46808510638297873
1,4,1,A,17,0.18085106382978725
1,4,1,B,19,0.20212765957446807
1,4,1,A/B,8,0.0851063829787234
1,4,1,AB,0,0
1,4,1,E,0,0
1,4,2,U,7,0.07446808510638298
1,4,2,S,45,0.4787234042553192
1,4,2,A,16,0.1702127659574468
1,4,2,B,19,0.20212765957446807
1,4,2,A/B,7,0.07446808510638298
1,4,2,AB,0,0
1,4,2,E,0,0
1,4,3,U,6,0.06382978723404255
1,4,3,S,44,0.46808510638297873
1,4,3,A,16,0.1702127659574468
1,4,3,B,19,0.20212765957446807
1,4,3,A/B,6,0.06382978723404255
1,4,3,AB,3,0.031914893617021274
1,4,3,E,0,0
1,4,4,U,6,0.06382978723404255
1,4,4,S,45,0.4787234042553192
1,4,4,A,17,0.18085106382978725
1,4,4,B,19,0.20212765957446807
1,4,4,A/B,7,0.07446808510638298
1,4,4,AB,0,0
1,4,4,E,0,0
1,5,1,U,6,0.06382978723404255
1,5,1,S,48,0.5106382978723404
1,5,1,A,13,0.13829787234042554
1,5,1,B,18,0.19148936170212766
1,5,1,A/B,9,0.09574468085106383
1,5,1,AB,0,0
1,5,1,E,0,0
1,5,2,U,7,0.07446808510638298
1,5,2,S,47,0.5
1,5,2,A,12,0.1276595744680851
1,5,2,B,19,0.20212765957446807
1,5,2,A/B,9,0.09574468085106383
1,5,2,AB,0,0
1,5,2,E,0,0
1,5,3,U,6,0.06382978723404255
1,5,3,S,48,0.5106382978723404
1,5,3,A,13,0.13829787234042554
1,5,3,B,18,0.19148936170212766
1,5,3,A/B,9,0.09574468085106383
1,5,3,AB,0,0
1,5,3,E,0,0
1,5,4,U,7,0.07446808510638298
1,5,4,S,48,0.5106382978723404
1,5,4,A,13,0.13829787234042554
